id,title,artist,album,track_duration_ms,audio_loudness,energy,rhythm_score,vocal_content,instrumental_score,acoustic_quality,mood_score,live_performance_likelihood,beats_per_minute,Outlier_Score,Is_Outlier,LOF_Score,Is_LOF_Outlier,PCA_Component_0,PCA_Component_1,PCA_Component_2,PCA_Component_3,PCA_Component_4,ICA_Component_0,ICA_Component_1,ICA_Component_2,KMeans_Cluster,Distance_to_Cluster,Avg_Distance_to_Clusters,Local_Density,NN_Distance_Std,vocal_content_qtrans_normal,vocal_content_qtrans_uniform,acoustic_quality_qtrans_normal,acoustic_quality_qtrans_uniform,instrumental_score_qtrans_normal,instrumental_score_qtrans_uniform,energy_qtrans_normal,energy_qtrans_uniform,rhythm_score_qtrans_normal,rhythm_score_qtrans_uniform,mood_score_qtrans_normal,mood_score_qtrans_uniform,Vocal_Instrumental_Ratio,Acoustic_Energy_Ratio,Live_Mood_Ratio,Energy_Rhythm_Mood,Vocal_Acoustic_Live,Energy_per_Minute,Rhythm_per_Minute,Mood_Duration_Product,Danceability_Score,Relaxation_Score
1,Song A,Artist 1,Album 1,240000,-8.5,0.7,0.6,0.1,0.2,0.5,0.6,0.3,120.0,0.13998067817995813,0,0.07390721906693842,0,-0.9531704663693119,0.7757165409890449,-0.5248888899673972,0.008386954858319253,0.10464002473931093,-0.3108032528985191,-0.9731493410923225,-0.4710691513734185,1,0.8047032585612134,3.2075620600634513,0.3632334304571537,1.5167705560126241,-0.43072729929545756,0.3333333333333333,0.43072729929545744,0.6666666666666666,0.13971029888186212,0.5555555555555556,0.13971029888186212,0.5555555555555556,0.13971029888186212,0.5555555555555556,0.7647096737863867,0.7777777777777777,0.49999750001249993,0.7142846938790087,0.49999916666805555,0.252,0.015,0.1749999562500109,0.14999996250000935,2.4,0.5874999999999999,0.47000000000000003
2,Song B,Artist 2,Album 2,180000,-6.0,0.8,0.7,0.2,0.1,0.4,0.5,0.4,130.0,0.08437425707373924,0,0.07390721906693842,0,2.2958253401031086,0.12147433112586441,-0.44141946672581445,0.5728826817331624,0.6446567288586886,0.18674208610170523,-0.8202242988295576,0.9281093889847535,2,0.0,3.367363297840723,0.2945924954423743,1.6461269973858845,0.7647096737863867,0.7777777777777777,-0.5894557978497783,0.2777777777777778,-0.967421566101701,0.16666666666666666,0.7647096737863867,0.7777777777777777,0.7647096737863867,0.7777777777777777,-0.5894557978497783,0.2777777777777778,1.9999800001999979,0.49999937500078123,0.7999984000032,0.27999999999999997,0.03200000000000001,0.2666665777778074,0.23333325555558146,1.5,0.62,0.37
3,Song C,Artist 3,Album 3,300000,-10.0,0.5,0.5,0.05,0.3,0.6,0.7,0.2,110.0,-0.018609022022098687,1,0.0739072190669382,0,-3.945484926678142,1.3511727834857712,-0.07314440751469913,-0.0024174198081936124,0.08479503491059527,-0.9922244967227514,-0.24632145933255317,-1.6776446754607266,4,0.0,4.797616946586006,0.22136553859908475,2.252355893206956,-5.199337582605575,0.0,5.19933758270342,1.0,1.2206403488473496,0.8888888888888888,-5.199337582605575,0.0,-0.5894557978497783,0.2777777777777778,5.19933758270342,1.0,0.16666611111296298,1.1999976000047998,0.28571387755160355,0.175,0.006,0.099999980000004,0.099999980000004,3.5,0.5,0.6
4,Song D,Artist 4,Album 4,210000,-7.5,0.6,0.4,0.15,0.25,0.3,0.4,0.5,115.0,0.034060520579310416,0,0.07390721906693842,0,0.3313897992559763,-3.031209338573283,0.9510487267228722,0.17880154309206606,-0.06109689569932703,1.6179294714938808,2.121372173353907,0.19970807347474376,0,0.0,4.023310187978877,0.25174789350890703,1.5715082494210624,0.13971029888186212,0.5555555555555556,-5.199337582605575,0.0,0.7647096737863871,0.7777777777777778,-0.5894557978497783,0.2777777777777778,-5.199337582605575,0.0,-5.199337582605575,0.0,0.5999976000096,0.49999916666805555,1.2499968750078125,0.096,0.0225,0.17142852244899356,0.1142856816326624,1.4000000000000001,0.4725,0.36
5,Song E,Artist 5,Album 5,240000,-9.0,0.65,0.55,0.1,0.15,0.45,0.55,0.35,125.0,0.14343162556993327,0,0.07390721906693842,0,-0.7535158946473853,-0.08341967404485624,-0.5240483992353183,0.18452050931065128,-0.7838663761323009,0.2735861703227932,-0.8138506096624718,-0.41084517677291466,1,0.6745474446398908,3.181361410162241,0.36733018293265546,1.4476748749978516,-0.43072729929545756,0.3333333333333333,-0.13971029888186212,0.4444444444444444,-0.4307272992954573,0.3333333333333334,-0.13971029888186212,0.4444444444444444,-0.13971029888186212,0.4444444444444444,0.0,0.5,0.6666622222518517,0.6923066272205735,0.6363624793409465,0.19662500000000005,0.01575,0.16249995937501016,0.1374999656250086,2.2,0.56,0.45000000000000007
6,Song F,Artist 6,Album 6,200000,-8.0,0.75,0.65,0.2,0.2,0.55,0.6,0.4,135.0,0.11420973728353423,0,0.07390721906693842,0,0.2966281371603794,1.2514112756031253,0.6555136949325585,-0.28942820954336007,0.045055430826400185,-1.1340399133018708,0.8198432853309714,0.2695010363369065,6,0.0,3.0834563698122404,0.343289359896583,1.3782518096404606,0.7647096737863867,0.7777777777777777,1.2206403488473496,0.8888888888888888,0.13971029888186212,0.5555555555555556,0.43072729929545805,0.6666666666666669,0.43072729929545805,0.6666666666666669,0.7647096737863867,0.7777777777777777,0.9999950000249999,0.7333323555568593,0.6666655555574075,0.29250000000000004,0.04400000000000001,0.22499993250002023,0.19499994150001754,2.0,0.615,0.47500000000000003
7,Song G,Artist 7,Album 7,250000,-7.0,0.85,0.75,0.3,0.1,0.5,0.65,0.45,140.0,0.045840080546744044,0,0.07390721906693853,0,2.373767142684633,2.032889355974119,0.8440394809568447,-0.2047349141359766,-0.09345571656774444,-1.6861613098381747,0.908278897191417,1.221964260201714,5,0.0,3.844714522500516,0.2564382847697528,1.850931742867978,5.19933758270342,1.0,0.43072729929545744,0.6666666666666666,-0.967421566101701,0.16666666666666666,1.2206403488473496,0.8888888888888888,1.2206403488473496,0.8888888888888888,1.2206403488473496,0.8888888888888888,2.9999700002999967,0.5882346020769388,0.6923066272205735,0.414375,0.0675,0.20399995104001173,0.17999995680001035,2.7083333333333335,0.6699999999999999,0.44000000000000006
8,Song H,Artist 8,Album 8,230000,-9.5,0.55,0.45,0.05,0.35,0.4,0.5,0.3,118.0,0.047159177026371846,0,0.0739072190669382,0,-2.6001993339798313,-1.5866260199014475,-0.22530949483920268,-0.6811944815936112,0.32684181277838925,1.0962281041521025,0.02329186392153899,-1.2092684882461073,3,0.0,4.028908708336711,0.2641186350954355,1.8889660460251019,-5.199337582605575,0.0,-0.5894557978497783,0.2777777777777778,5.19933758270342,1.0,-1.22064034884735,0.1111111111111111,-1.22064034884735,0.1111111111111111,-0.5894557978497783,0.2777777777777778,0.14285673469504376,0.7272714049610818,0.5999988000023999,0.12375000000000001,0.006000000000000001,0.14347822344046346,0.11739127372401555,1.9166666666666667,0.49750000000000005,0.44500000000000006
9,Song I,Artist 9,Album 9,190000,-6.5,0.9,0.8,0.25,0.05,0.3,0.4,0.5,150.0,0.0020676691135664838,0,0.07390721906693842,0,4.081249760985976,-0.6770184522534735,-0.7709431415534292,-0.4174005824949961,-0.16498798600051243,0.9274249857697093,-1.2645652194823072,1.624689934818724,7,0.0,4.4475535901494405,0.21705306434722801,2.1702652583396462,1.2206403488473496,0.8888888888888888,-5.199337582605575,0.0,-5.199337582605575,0.0,5.19933758270342,1.0,5.19933758270342,1.0,-5.199337582605575,0.0,4.9999000019999595,0.33333296296337445,1.2499968750078125,0.28800000000000003,0.0375,0.2842104365651253,0.2526314991690003,1.2666666666666666,0.6975000000000001,0.27
10,Song J,Artist 10,Album 10,220000,-8.2,0.6,0.5,0.1,0.2,0.5,0.55,0.35,122.0,0.1563003178432979,0,0.0739072190669382,0,-1.126489558515404,-0.15439080240486597,0.10915189722358615,0.6505839185819386,-0.10258205771350001,0.021318154921124894,0.2453247086013783,-0.47514520196367466,1,0.7320733656425809,3.1925210244520033,0.36568455224047386,1.5222479824102226,-0.43072729929545756,0.3333333333333333,0.43072729929545744,0.6666666666666666,0.13971029888186212,0.5555555555555556,-0.5894557978497783,0.2777777777777778,-0.5894557978497783,0.2777777777777778,0.0,0.5,0.49999750001249993,0.8333319444467593,0.6363624793409465,0.165,0.017499999999999998,0.16363631900827663,0.13636359917356386,2.0166666666666666,0.513,0.485
